Machine Break : Load at Machine Break,40340,N
,,
Time,Extension,Load
(sec),(mm),(N)
39.45,6.5715,49502.72143
39.55,6.5881,49583.25028
39.65,6.6047,49636.93917
39.75,6.6215,49690.63103
39.85,6.6381,49744.31992
39.95,6.6547,49798.02072
40.05,6.6714,49878.54958
40.15,6.6881,49932.24144
40.25,6.7048,49985.93032
40.35,6.7214,50039.61921
40.45,6.738,50093.31107
40.55,6.7548,50147.00294
40.65,6.7714,50200.68884
40.75,6.7881,50254.39262
40.85,6.8048,50308.07853
40.95,6.8214,50361.77039
41.05,6.8381,50415.46226
41.15,6.8548,50469.14816
41.25,6.8714,50522.84002
41.35,6.8881,50576.53189
41.45,6.9047,50630.21779
41.55,6.9215,50683.90965
41.65,6.9381,50737.60152
41.75,6.9547,50791.28742
41.85,6.9715,50844.97929
41.95,6.9881,50898.67115
42.05,7.0047,50952.35705
42.15,7.0214,51006.04892
42.25,7.0381,51059.74078
42.35,7.0548,51113.43265
42.45,7.0714,51167.13047
42.55,7.0881,51220.82233
42.65,7.1048,51247.66231
42.75,7.1214,51301.34821
42.85,7.138,51355.04007
42.95,7.1548,51408.73194
43.05,7.1714,51462.41784
43.15,7.1881,51516.1097
43.25,7.2048,51569.80157
43.35,7.2214,51596.6475
43.45,7.2381,51650.33937
43.55,7.2547,51704.03123
43.65,7.2715,51730.87716
43.75,7.2881,51811.409
43.85,7.3047,51838.26089
43.95,7.3215,51891.95275
44.05,7.3381,51945.63866
44.15,7.3547,51999.33052
44.25,7.3715,52026.17049
44.35,7.3881,52079.86832
44.45,7.4048,52106.70829
44.55,7.4214,52160.40015
44.65,7.4381,52214.09202
44.75,7.4548,52240.93795
45.05,7.5048,52375.16165
45.15,7.5214,52428.84755
45.25,7.5382,52482.53942
45.35,7.5548,52509.39131
45.45,7.5714,52563.07721
45.55,7.5881,52616.76908
45.65,7.6048,52643.62097
45.75,7.6215,52697.31283
45.85,7.6381,52724.1528
45.95,7.6547,52777.83871
46.05,7.6715,52804.6906
46.15,7.6881,52858.38246
46.25,7.7047,52885.22243
46.35,7.7215,52938.90834
46.45,7.7381,52965.76023
46.55,7.7548,53019.4521
46.65,7.7715,53046.29803
46.75,7.7881,53099.98989
46.85,7.8048,53126.82986
46.95,7.8214,53180.52173
47.05,7.8379,53207.36766
47.15,7.8547,53261.05952
47.25,7.8714,53287.89949
47.35,7.8882,53314.75139
47.45,7.9047,53368.43729
47.55,7.9214,53395.27726
47.65,7.9381,53448.98105
47.75,7.9547,53475.82102
47.85,7.9714,53502.67291
47.95,7.9881,53556.35881
48.05,8.0046,53583.19879
48.15,8.0214,53610.05068
48.25,8.0381,53663.74254
48.35,8.0546,53690.58251
48.45,8.0714,53744.26842
48.55,8.0881,53771.12031
48.65,8.1048,53797.96028
48.75,8.1213,53851.65215
48.85,8.1381,53878.49808
48.95,8.1548,53905.34997
49.05,8.1713,53932.18994
49.15,8.1881,53985.88181
49.25,8.2048,54012.72774
49.35,8.2213,54039.56771
49.45,8.2381,54066.4196
49.55,8.2548,54093.25957
49.65,8.2713,54146.95144
49.75,8.288,54173.79737
49.85,8.3048,54200.63734
49.95,8.3213,54227.48923
50.05,8.338,54281.1811
50.15,8.3548,54308.02107
50.25,8.3715,54334.87296
50.35,8.388,54361.71889
50.45,8.4047,54415.41076
50.55,8.4215,54442.25073
50.65,8.438,54469.10262
50.75,8.4547,54495.94259
50.85,8.4715,54522.78852
50.95,8.488,54549.6285
51.05,8.5047,54603.32036
51.15,8.5215,54630.17225
51.25,8.538,54657.01222
51.35,8.5547,54683.85816
51.45,8.5714,54710.69813
51.55,8.5882,54737.55002
51.65,8.6047,54764.38999
51.75,8.6214,54818.08782
51.85,8.6382,54844.92779
51.95,8.6547,54871.77968
52.05,8.6714,54898.61965
52.15,8.6882,54925.47154
52.25,8.7047,54952.31152
52.35,8.7214,54979.15745
52.45,8.7381,55005.99742
52.55,8.7546,55032.84931
52.65,8.7714,55059.68928
52.75,8.7881,55086.54118
52.85,8.8049,55113.38115
52.95,8.8214,55140.22708
53.05,8.8381,55193.91894
53.15,8.8548,55220.75891
53.25,8.8714,55247.61081
53.35,8.8881,55274.4627
53.45,8.9048,55274.4627
53.55,8.9213,55301.30267
53.65,8.9381,55354.98857
53.75,8.9548,55381.84047
53.85,8.9713,55408.68044
53.95,8.9881,55408.68044
54.05,9.0048,55462.3723
54.15,9.0213,55462.3723
54.25,9.038,55516.05821
54.35,9.0548,55542.9101
54.45,9.0715,55542.9101
54.55,9.088,55569.75007
54.65,9.1048,55596.60196
54.75,9.1215,55623.44193
54.85,9.138,55650.28787
54.95,9.1548,55677.12784
55.05,9.1715,55703.97973
55.35,9.2215,55757.67159
55.45,9.238,55757.67159
55.55,9.2547,55784.51753
55.65,9.2715,55838.20939
55.75,9.2882,55838.20939
55.85,9.3047,55865.04936
55.95,9.3215,55891.90125
56.05,9.3382,55918.74123
56.15,9.3547,55918.74123
56.25,9.3714,55945.58716
56.35,9.3882,55972.42713
56.45,9.4047,55972.42713
56.55,9.4214,55999.27902
56.65,9.4382,56026.11899
56.75,9.4547,56052.97089
56.85,9.4714,56079.81086
56.95,9.4881,56106.66275
57.05,9.5046,56133.50272
57.15,9.5214,56133.50272
57.25,9.5381,56160.34865
57.35,9.5549,56187.20055
57.45,9.5714,56187.20055
57.55,9.5881,56214.04052
57.65,9.6049,56240.89241
57.75,9.6214,56267.73238
57.85,9.6381,56267.73238
57.95,9.6548,56294.57831
58.05,9.6713,56321.41829
58.15,9.6881,56348.27018
58.25,9.7048,56375.11015
58.35,9.7213,56375.11015
58.45,9.7381,56401.96204
58.55,9.7548,56428.80201
58.65,9.7715,56455.64795
58.75,9.7881,56455.64795
58.85,9.8048,56482.48792
58.95,9.8215,56482.48792
59.05,9.838,56509.33981
59.15,9.8548,56509.33981
59.25,9.8715,56536.17978
59.35,9.888,56563.03167
59.45,9.9048,56563.03167
59.55,9.9215,56563.03167
59.65,9.938,56589.87164
59.75,9.9547,56589.87164
59.85,9.9715,56589.87164
59.95,9.9882,56616.71758
60.05,10.0047,56616.71758
60.15,10.0215,56616.71758
60.25,10.0382,56643.56947
60.35,10.0547,56670.40944
60.45,10.0715,56670.40944
60.55,10.0882,56697.26133
60.65,10.1047,56724.10131
60.75,10.1214,56750.94724
60.85,10.1382,56777.78721
60.95,10.1547,56804.6391
61.05,10.1714,56831.47907
61.15,10.1882,56858.33097
61.25,10.2047,56858.33097
61.35,10.2214,56885.17094
61.45,10.2382,56912.02283
61.55,10.2549,56912.02283
61.65,10.2714,56938.8628
61.75,10.2881,56965.70873
61.85,10.3049,56965.70873
61.95,10.3214,56992.5487
62.05,10.3381,57019.4006
62.15,10.3549,57046.24057
62.25,10.3714,57046.24057
62.35,10.3881,57073.09246
62.45,10.4048,57073.09246
62.55,10.4213,57099.93839
62.65,10.4381,57126.77836
62.75,10.4548,57126.77836
62.85,10.4716,57153.63026
62.95,10.4881,57153.63026
63.05,10.5048,57180.47023
63.15,10.5216,57180.47023
63.25,10.5381,57207.32212
63.35,10.5548,57234.16209
63.45,10.5715,57234.16209
63.55,10.588,57261.00802
63.65,10.6048,57261.00802
63.75,10.6215,57287.848
63.85,10.638,57314.69989
63.95,10.6548,57314.69989
64.05,10.6715,57341.53986
64.15,10.688,57341.53986
64.25,10.7048,57368.39175
64.35,10.7215,57368.39175
64.45,10.7382,57395.23172
64.55,10.7547,57422.07766
64.65,10.7715,57422.07766
64.75,10.7882,57448.91763
64.85,10.8047,57448.91763
64.95,10.8215,57475.76952
65.05,10.8382,57475.76952
65.15,10.8547,57475.76952
65.25,10.8714,57502.60949
65.35,10.8882,57529.46138
65.65,10.9382,57556.30732
65.75,10.9549,57583.14729
65.85,10.9714,57583.14729
65.95,10.9882,57609.99918
66.05,11.0049,57609.99918
66.15,11.0214,57636.83915
66.25,11.0381,57636.83915
66.35,11.0549,57663.69104
66.45,11.0714,57663.69104
66.55,11.0881,57690.53102
66.65,11.1049,57690.53102
66.75,11.1214,57690.53102
66.85,11.1381,57717.38291
66.95,11.1549,57744.22288
67.05,11.1716,57744.22288
67.15,11.1881,57744.22288
67.25,11.2048,57771.06881
67.35,11.2216,57771.06881
67.45,11.2381,57797.90878
67.55,11.2548,57824.76068
67.65,11.2716,57824.76068
67.75,11.2881,57824.76068
67.85,11.3048,57851.60065
67.95,11.3215,57851.60065
68.05,11.338,57878.45254
68.15,11.3548,57878.45254
68.25,11.3715,57905.29251
68.35,11.388,57905.29251
68.45,11.4048,57905.29251
68.55,11.4215,57932.13844
68.65,11.4383,57932.13844
68.75,11.4548,57932.13844
68.85,11.4715,57958.97841
68.95,11.4882,57958.97841
69.05,11.5047,57985.83031
69.15,11.5215,57985.83031
69.25,11.5382,58012.6822
69.35,11.5547,58012.6822
69.45,11.5715,58012.6822
69.55,11.5882,58039.52217
69.65,11.6047,58039.52217
69.75,11.6215,58039.52217
69.85,11.6382,58066.3681
69.95,11.6549,58066.3681
70.05,11.6714,58093.20807
70.15,11.6882,58093.20807
70.25,11.7049,58120.05997
70.35,11.7214,58120.05997
70.45,11.7382,58120.05997
70.55,11.7549,58146.89994
70.65,11.7714,58146.89994
70.75,11.7881,58146.89994
70.85,11.8049,58173.75183
70.95,11.8214,58173.75183
71.05,11.8381,58173.75183
71.15,11.8549,58200.5918
71.25,11.8714,58200.5918
71.35,11.8881,58200.5918
71.45,11.9049,58227.43773
71.55,11.9216,58227.43773
71.65,11.9381,58227.43773
71.75,11.9548,58254.27771
71.85,11.9716,58254.27771
71.95,11.9881,58254.27771
72.05,12.0048,58281.1296
72.15,12.0216,58281.1296
72.25,12.0381,58281.1296
72.35,12.0548,58281.1296
72.45,12.0716,58307.96957
72.55,12.0881,58307.96957
72.65,12.1048,58307.96957
72.75,12.1215,58334.82146
72.85,12.1383,58334.82146
72.95,12.1548,58334.82146
73.05,12.1715,58361.66143
73.15,12.1883,58361.66143
73.25,12.2048,58361.66143
73.35,12.2215,58388.50737
73.45,12.2382,58388.50737
73.55,12.2547,58388.50737
73.65,12.2715,58388.50737
73.75,12.2882,58415.34734
73.85,12.3047,58415.34734
73.95,12.3215,58415.34734
74.05,12.3382,58442.19923
74.15,12.355,58442.19923
74.25,12.3715,58442.19923
74.35,12.3882,58442.19923
74.45,12.4049,58469.05112
74.55,12.4214,58469.05112
74.65,12.4382,58469.05112
74.75,12.4549,58469.05112
74.85,12.4714,58495.89109
74.95,12.4882,58495.89109
75.05,12.5049,58495.89109
75.15,12.5214,58522.73703
75.25,12.5382,58522.73703
75.35,12.5549,58522.73703
75.45,12.5714,58522.73703
75.55,12.5881,58522.73703
75.65,12.6049,58549.58296
75.95,12.6549,58549.58296
76.05,12.6716,58576.42889
76.15,12.6881,58576.42889
76.25,12.7048,58576.42889
76.35,12.7216,58576.42889
76.45,12.7381,58603.26886
76.55,12.7548,58603.26886
76.65,12.7716,58603.26886
76.75,12.7881,58603.26886
76.85,12.8048,58603.26886
76.95,12.8216,58630.12075
77.05,12.8383,58630.12075
77.15,12.8548,58630.12075
77.25,12.8715,58630.12075
77.35,12.8883,58630.12075
77.45,12.9048,58656.96073
77.55,12.9215,58656.96073
77.65,12.9383,58656.96073
77.75,12.9548,58656.96073
77.85,12.9715,58656.96073
77.95,12.9883,58683.81262
78.05,13.0048,58683.81262
78.15,13.0215,58683.81262
78.25,13.0382,58683.81262
78.35,13.0547,58683.81262
78.45,13.0715,58710.65259
78.55,13.0882,58710.65259
78.65,13.105,58710.65259
78.75,13.1215,58710.65259
78.85,13.1382,58710.65259
78.95,13.1549,58737.49852
79.05,13.1714,58737.49852
79.15,13.1882,58737.49852
79.25,13.2049,58737.49852
79.35,13.2214,58737.49852
79.45,13.2382,58737.49852
79.55,13.2549,58737.49852
79.65,13.2714,58764.33849
79.75,13.2882,58764.33849
79.85,13.3049,58764.33849
79.95,13.3216,58764.33849
80.05,13.3381,58764.33849
80.15,13.3549,58791.19039
80.25,13.3716,58791.19039
80.35,13.3881,58791.19039
80.45,13.4049,58791.19039
80.55,13.4216,58791.19039
80.65,13.4381,58791.19039
80.75,13.4549,58818.03036
80.85,13.4716,58818.03036
80.95,13.4881,58791.19039
81.05,13.5048,58818.03036
81.15,13.5216,58818.03036
81.25,13.5383,58818.03036
81.35,13.5548,58818.03036
81.45,13.5716,58818.03036
81.55,13.5883,58818.03036
81.65,13.6048,58818.03036
81.75,13.6215,58844.88225
81.85,13.6383,58844.88225
81.95,13.6548,58844.88225
82.05,13.6715,58844.88225
82.15,13.6883,58844.88225
82.25,13.7048,58844.88225
82.35,13.7215,58844.88225
82.45,13.7383,58844.88225
82.55,13.7548,58871.72222
82.65,13.7715,58871.72222
82.75,13.7882,58871.72222
82.85,13.805,58871.72222
82.95,13.8215,58871.72222
83.05,13.8382,58871.72222
83.15,13.855,58871.72222
83.25,13.8715,58871.72222
83.35,13.8882,58898.56815
83.45,13.905,58898.56815
83.55,13.9215,58898.56815
83.65,13.9382,58898.56815
83.75,13.9549,58898.56815
83.85,13.9714,58898.56815
83.95,13.9882,58898.56815
84.05,14.0049,58898.56815
84.15,14.0217,58898.56815
84.25,14.0382,58898.56815
84.35,14.0549,58898.56815
84.45,14.0716,58898.56815
84.55,14.0881,58898.56815
84.65,14.1049,58925.42005
84.75,14.1216,58925.42005
84.85,14.1381,58925.42005
84.95,14.1549,58925.42005
85.05,14.1716,58925.42005
85.15,14.1881,58925.42005
85.25,14.2049,58925.42005
85.35,14.2216,58925.42005
85.45,14.2381,58925.42005
85.55,14.2548,58925.42005
85.65,14.2716,58925.42005
85.75,14.2883,58925.42005
85.85,14.3048,58925.42005
85.95,14.3216,58925.42005
86.2,14.3632,58952.26002
86.3,14.3799,58952.26002
86.4,14.3967,58925.42005
86.5,14.4132,58952.26002
86.6,14.4299,58952.26002
86.7,14.4466,58952.26002
86.8,14.4632,58952.26002
86.9,14.4799,58952.26002
87,14.4966,58952.26002
87.1,14.5131,58952.26002
87.2,14.5299,58952.26002
87.3,14.5466,58952.26002
87.4,14.5631,58952.26002
87.5,14.5799,58952.26002
87.6,14.5966,58952.26002
87.7,14.6133,58952.26002
87.8,14.6298,58952.26002
87.9,14.6466,58952.26002
88,14.6633,58952.26002
88.1,14.6798,58952.26002
88.2,14.6966,58952.26002
88.3,14.7133,58952.26002
88.4,14.7298,58952.26002
88.5,14.7466,58952.26002
88.6,14.7633,58952.26002
88.7,14.7798,58952.26002
88.8,14.7965,58952.26002
88.9,14.8133,58952.26002
89,14.8298,58952.26002
89.1,14.8465,58952.26002
89.2,14.8633,58952.26002
89.3,14.88,58952.26002
89.4,14.8965,58952.26002
89.5,14.9133,58952.26002
89.6,14.93,58952.26002
89.7,14.9465,58952.26002
89.8,14.9632,58952.26002
89.9,14.98,58952.26002
90,14.9965,58952.26002
90.1,15.0132,58979.11191
90.2,15.03,58979.11191
90.3,15.0465,58952.26002
90.4,15.0632,58952.26002
90.5,15.0799,58952.26002
90.6,15.0967,58952.26002
90.7,15.1132,58952.26002
90.8,15.1299,58952.26002
90.9,15.1467,58952.26002
91,15.1632,58952.26002
91.1,15.1799,58952.26002
91.2,15.1967,58952.26002
91.3,15.2132,58952.26002
91.4,15.2299,58952.26002
91.5,15.2466,58952.26002
91.6,15.2631,58952.26002
91.7,15.2799,58952.26002
91.8,15.2966,58952.26002
91.9,15.3134,58952.26002
92,15.3299,58952.26002
92.1,15.3466,58952.26002
92.2,15.3633,58952.26002
92.3,15.3799,58952.26002
92.4,15.3966,58952.26002
92.5,15.4133,58952.26002
92.6,15.4298,58952.26002
92.7,15.4466,58952.26002
92.8,15.4633,58952.26002
92.9,15.4798,58952.26002
93,15.4966,58925.42005
93.1,15.5133,58952.26002
93.2,15.5298,58952.26002
93.3,15.5465,58925.42005
93.4,15.5633,58952.26002
93.5,15.58,58952.26002
