Machine Break : Load at Machine Break,5992,N
,,
Time,Extension,Load
(sec),(mm),(N)
48.55,8.0859,16778.3007
48.65,8.1027,16772.93032
48.75,8.1194,16767.57038
48.85,8.1359,16756.82962
48.95,8.1527,16751.46073
49.05,8.1694,16746.09035
49.15,8.1862,16740.71997
49.25,8.2027,16746.09035
49.35,8.2194,16724.61033
49.45,8.2361,16692.39998
49.55,8.2526,16703.14074
49.65,8.2694,16676.29033
49.75,8.2861,16687.0296
49.85,8.3026,16708.50962
49.95,8.3194,16729.98071
50.05,8.3361,16762.2
50.15,8.3526,16772.93032
50.25,8.3694,16772.93032
50.35,8.3861,16799.78073
50.45,8.4026,16826.62964
50.55,8.4193,16821.25926
50.65,8.4361,16944.74071
50.75,8.4528,17019.90962
50.85,8.4693,16864.21037
50.95,8.4861,16874.94963
51.05,8.5028,16885.67996
51.15,8.5193,16896.42072
51.25,8.536,16912.53036
51.35,8.5528,16923.26963
51.45,8.5693,16934.01039
51.55,8.586,16939.37927
51.65,8.6028,16944.74071
51.75,8.6193,16944.74071
51.85,8.636,16950.1096
51.95,8.6528,16955.47998
52.05,8.6695,16960.85036
52.15,8.686,16960.85036
52.25,8.7027,16966.22074
52.35,8.7195,16971.58962
52.45,8.736,16971.58962
52.55,8.7527,16971.58962
52.65,8.7695,16976.96
52.75,8.786,16976.96
52.85,8.8027,16976.96
52.95,8.8195,16971.58962
53.05,8.836,16976.96
53.15,8.8527,16971.58962
53.25,8.8694,16971.58962
53.35,8.8862,16971.58962
53.45,8.9027,16971.58962
53.55,8.9194,16966.22074
53.65,8.9362,16966.22074
53.75,8.9527,16960.85036
53.85,8.9694,16960.85036
53.95,8.9861,16955.47998
54.05,9.0026,16955.47998
54.15,9.0194,16955.47998
54.25,9.0361,16939.37927
54.35,9.0526,16885.67996
54.45,9.0694,16896.42072
54.55,9.0861,16885.67996
54.65,9.1026,16896.42072
54.75,9.1194,16907.15998
54.85,9.1361,16923.26963
54.95,9.1528,16939.37927
55.05,9.1693,16955.47998
55.15,9.1861,16971.58962
55.25,9.2028,16987.69927
55.35,9.2193,16993.06965
55.45,9.2361,17009.17035
55.55,9.2528,17019.90962
55.65,9.2693,17030.65038
55.75,9.2861,17041.38964
55.85,9.3028,17046.76002
55.95,9.3193,17057.49035
56.05,9.336,17062.86073
56.15,9.3528,17073.59999
56.25,9.3695,17078.97037
56.35,9.386,17084.33926
56.45,9.4028,17089.70964
56.55,9.4195,17095.08002
56.65,9.436,17095.08002
56.75,9.4527,17100.4504
56.85,9.4695,17100.4504
56.95,9.486,17100.4504
57.05,9.5027,17100.4504
57.15,9.5195,17111.18966
57.25,9.536,17111.18966
57.35,9.5527,17116.54961
57.45,9.5695,17116.54961
57.55,9.586,17116.54961
57.65,9.6027,17121.91999
57.75,9.6194,17121.91999
58,9.6611,17127.29037
58.1,9.6778,17132.65926
58.2,9.6943,17132.65926
58.3,9.711,17132.65926
58.4,9.7278,17132.65926
58.5,9.7445,17132.65926
58.6,9.761,17132.65926
58.7,9.7778,17138.02963
58.8,9.7945,17138.02963
58.9,9.811,17138.02963
59,9.8278,17138.02963
59.1,9.8445,17138.02963
59.2,9.861,17138.02963
59.3,9.8777,17132.65926
59.4,9.8945,17132.65926
59.5,9.911,17132.65926
59.6,9.9277,17127.29037
59.7,9.9445,17127.29037
59.8,9.9612,17127.29037
59.9,9.9777,17127.29037
60,9.9944,17121.91999
60.1,10.0112,17121.91999
60.2,10.0277,17116.54961
60.3,10.0444,17073.59999
60.4,10.0612,17073.59999
60.5,10.0777,17073.59999
60.6,10.0944,17057.49035
60.7,10.1112,17057.49035
60.8,10.1277,17068.22962
60.9,10.1444,17078.97037
61,10.1611,17089.70964
61.1,10.1776,17105.81928
61.2,10.1944,17121.91999
61.3,10.2111,17132.65926
61.4,10.2279,17148.77039
61.5,10.2444,17159.50966
61.6,10.2611,17170.25042
61.7,10.2779,17180.98074
61.8,10.2944,17191.72001
61.9,10.3111,17197.09039
62,10.3278,17207.82965
62.1,10.3443,17213.20003
62.2,10.3611,17218.57041
62.3,10.3778,17229.30074
62.4,10.3943,17229.30074
62.5,10.4111,17229.30074
62.6,10.4278,17240.04
62.7,10.4445,17245.41038
62.8,10.461,17245.41038
62.9,10.4778,17245.41038
63,10.4945,17245.41038
63.1,10.511,17250.77927
63.2,10.5278,17250.77927
63.3,10.5445,17250.77927
63.4,10.561,17256.14965
63.5,10.5778,17250.77927
63.6,10.5945,17250.77927
63.7,10.611,17250.77927
63.8,10.6277,17256.14965
63.9,10.6445,17250.77927
64,10.6612,17250.77927
64.1,10.6777,17256.14965
64.2,10.6945,17250.77927
64.3,10.7112,17250.77927
64.4,10.7277,17250.77927
64.5,10.7445,17245.41038
64.6,10.7612,17245.41038
64.7,10.7777,17245.41038
64.8,10.7944,17245.41038
64.9,10.8112,17240.04
65,10.8277,17240.04
65.1,10.8444,17240.04
65.2,10.8612,17240.04
65.3,10.8777,17234.66963
65.4,10.8944,17234.66963
65.5,10.9111,17229.30074
65.6,10.9279,17229.30074
65.7,10.9444,17223.9393
65.8,10.9611,17223.9393
65.9,10.9779,17223.9393
66,10.9944,17218.57041
66.1,11.0111,17213.20003
66.2,11.0279,17213.20003
66.3,11.0444,17207.82965
66.4,11.0611,17207.82965
66.5,11.0778,17202.45928
66.6,11.0943,17202.45928
66.7,11.1111,17202.45928
66.8,11.1278,17202.45928
66.9,11.1446,17202.45928
67,11.1611,17202.45928
67.1,11.1778,17202.45928
67.2,11.1946,17202.45928
67.3,11.2111,17197.09039
67.4,11.2278,17170.25042
67.5,11.2445,17148.77039
67.6,11.261,17154.13928
67.7,11.2778,17148.77039
67.8,11.2945,17138.02963
67.9,11.311,17143.40001
68,11.3278,17148.77039
68.3,11.3777,17164.88004
68.4,11.3945,17170.25042
68.5,11.4112,17175.61036
68.6,11.4277,17180.98074
68.7,11.4445,17186.34963
68.8,11.4612,17191.72001
68.9,11.4777,17197.09039
69,11.4945,17197.09039
69.1,11.5112,17202.45928
69.2,11.5277,17202.45928
69.3,11.5444,17202.45928
69.4,11.5612,17207.82965
69.5,11.5777,17207.82965
69.6,11.5944,17213.20003
69.7,11.6112,17213.20003
69.8,11.6279,17213.20003
69.9,11.6444,17218.57041
70,11.6612,17213.20003
70.1,11.6779,17213.20003
70.2,11.6944,17218.57041
70.3,11.7111,17213.20003
70.4,11.7279,17213.20003
70.5,11.7444,17218.57041
70.6,11.7611,17218.57041
70.7,11.7779,17213.20003
70.8,11.7944,17218.57041
70.9,11.8111,17218.57041
71,11.8278,17218.57041
71.1,11.8446,17213.20003
71.2,11.8611,17213.20003
71.3,11.8778,17218.57041
71.4,11.8946,17213.20003
71.5,11.9111,17213.20003
71.6,11.9278,17213.20003
71.7,11.9446,17213.20003
71.8,11.9611,17213.20003
71.9,11.9778,17207.82965
72,11.9945,17207.82965
72.1,12.011,17202.45928
72.2,12.0278,17207.82965
72.3,12.0445,17202.45928
72.4,12.061,17202.45928
72.5,12.0778,17197.09039
72.6,12.0945,17197.09039
72.7,12.1113,17191.72001
72.8,12.1278,17191.72001
72.9,12.1445,17186.34963
73,12.1612,17186.34963
73.1,12.1777,17180.98074
73.2,12.1945,17180.98074
73.3,12.2112,17175.61036
73.4,12.2277,17175.61036
73.5,12.2445,17175.61036
73.6,12.2612,17175.61036
73.7,12.2777,17164.88004
73.8,12.2944,17170.25042
73.9,12.3112,17164.88004
74,12.3279,17159.50966
74.1,12.3444,17159.50966
74.2,12.3612,17154.13928
74.3,12.3779,17154.13928
74.4,12.3944,17143.40001
74.5,12.4112,17148.77039
74.6,12.4279,17138.02963
74.7,12.4444,17132.65926
74.8,12.4611,17132.65926
74.9,12.4779,17132.65926
75,12.4944,17127.29037
75.1,12.5111,17121.91999
75.2,12.5279,17116.54961
75.3,12.5444,17111.18966
75.4,12.5611,17105.81928
75.5,12.5779,17100.4504
75.6,12.5946,17100.4504
75.7,12.6111,17095.08002
75.8,12.6278,17089.70964
75.9,12.6446,17084.33926
76,12.6611,17084.33926
76.1,12.6778,17073.59999
76.2,12.6946,17068.22962
76.3,12.7111,17062.86073
76.4,12.7278,17057.49035
76.5,12.7445,17052.1304
76.6,12.761,17052.1304
76.7,12.7778,17041.38964
76.8,12.7945,17041.38964
76.9,12.8113,17030.65038
77,12.8278,17025.28
77.1,12.8445,17019.90962
77.2,12.8613,17014.54073
77.3,12.8778,17009.17035
77.4,12.8945,17003.79997
77.5,12.9112,16998.44003
77.6,12.9277,16993.06965
77.7,12.9445,16987.69927
77.8,12.9612,16982.33038
77.9,12.9777,16971.58962
78,12.9945,16966.22074
78.1,13.0112,16960.85036
78.2,13.028,16955.47998
78.3,13.0445,16944.74071
78.6,13.0944,16923.26963
78.7,13.1112,16917.90074
78.8,13.1279,16907.15998
78.9,13.1444,16901.78961
79,13.1612,16891.05034
79.1,13.1779,16885.67996
79.2,13.1944,16874.94963
79.3,13.2111,16874.94963
79.4,13.2279,16864.21037
79.5,13.2444,16858.83999
79.6,13.2611,16848.10072
79.7,13.2779,16842.73034
79.8,13.2946,16831.98959
79.9,13.3111,16826.62964
80,13.3279,16815.89037
80.1,13.3446,16810.51999
80.2,13.3611,16799.78073
80.3,13.3778,16789.03997
80.4,13.3946,16783.66959
80.5,13.4111,16772.93032
80.6,13.4278,16767.57038
80.7,13.4446,16756.82962
80.8,13.4611,16746.09035
80.9,13.4778,16740.71997
81,13.4946,16729.98071
81.1,13.5113,16719.23995
